"Work Item Type","ID","Titulo","State","Assigned To","Area Path","URL Destino","Prioridad","Categoria","Descripcion","Precondiciones","Test Step","Accion","Valor","Descripcion del paso","Resultado Esperado"
"Test Case","","Login con credenciales válidas","Design","","CocinaStore","http://localhost:5174","Alta","Autenticacion","Verificar que un usuario puede iniciar sesión con las credenciales demo.","Navegador abierto; portal CocinaStore desplegado.","1","Navegar a URL","http://localhost:5174","Abrir el portal en el navegador.","Se carga la página principal (catálogo)."
"Test Case","","Login con credenciales válidas","Design","","CocinaStore","http://localhost:5174","Alta","Autenticacion","Verificar que un usuario puede iniciar sesión con las credenciales demo.","Navegador abierto; portal CocinaStore desplegado.","2","Click en elemento","a[href='/login']","En el header pulsar Iniciar sesión.","Se navega a la pantalla de login."
"Test Case","","Login con credenciales válidas","Design","","CocinaStore","http://localhost:5174","Alta","Autenticacion","Verificar que un usuario puede iniciar sesión con las credenciales demo.","Navegador abierto; portal CocinaStore desplegado.","3","Escribir texto","input[type='email']|demo@cocina.com","Ingresar email en el campo Email.","El campo Email contiene demo@cocina.com."
"Test Case","","Login con credenciales válidas","Design","","CocinaStore","http://localhost:5174","Alta","Autenticacion","Verificar que un usuario puede iniciar sesión con las credenciales demo.","Navegador abierto; portal CocinaStore desplegado.","4","Escribir texto","input[type='password']|demo123","Ingresar contraseña en el campo Contraseña.","El campo Contraseña contiene el valor."
"Test Case","","Login con credenciales válidas","Design","","CocinaStore","http://localhost:5174","Alta","Autenticacion","Verificar que un usuario puede iniciar sesión con las credenciales demo.","Navegador abierto; portal CocinaStore desplegado.","5","Click en elemento","button[type='submit']","Pulsar el botón Entrar.","Se muestra Mi cuenta y Cerrar sesión en el header."
"Test Case","","Login con credenciales inválidas","Design","","CocinaStore","http://localhost:5174","Media","Autenticacion","Verificar que se muestra error al usar credenciales incorrectas.","Navegador abierto; portal desplegado.","1","Navegar a URL","http://localhost:5174/login","Abrir el portal e ir a Iniciar sesión.","Se muestra el formulario de login."
"Test Case","","Login con credenciales inválidas","Design","","CocinaStore","http://localhost:5174","Media","Autenticacion","Verificar que se muestra error al usar credenciales incorrectas.","Navegador abierto; portal desplegado.","2","Escribir texto","input[type='email']|wrong@test.com","Ingresar email incorrecto.","Los campos aceptan el texto."
"Test Case","","Login con credenciales inválidas","Design","","CocinaStore","http://localhost:5174","Media","Autenticacion","Verificar que se muestra error al usar credenciales incorrectas.","Navegador abierto; portal desplegado.","3","Escribir texto","input[type='password']|123","Ingresar contraseña incorrecta.","El campo acepta el texto."
"Test Case","","Login con credenciales inválidas","Design","","CocinaStore","http://localhost:5174","Media","Autenticacion","Verificar que se muestra error al usar credenciales incorrectas.","Navegador abierto; portal desplegado.","4","Click en elemento","button[type='submit']","Pulsar Entrar.","Se muestra mensaje de error (Email o contraseña incorrectos)."
"Test Case","","Ver catálogo de productos de cocina","Design","","CocinaStore","http://localhost:5174","Alta","Catalogo","Verificar que el catálogo muestra productos de cocina con precio en COP.","Portal desplegado.","1","Navegar a URL","http://localhost:5174/","Abrir el portal en la ruta raíz o pulsar Catálogo.","Se carga la página del catálogo."
