id,pageUrl,text,selector,tag,status,latencyMs,slow,broken,urlBefore,urlAfter,skipReason,error,consoleErrors,networkErrors
BTN-0001,https://www.grupoficohsa.com/,"Acerca de Ficohsa","div#container-3c8b5b248b > div > div > header > div:nth-of-type(2) > div > div:nth-of-type(2) > div:nth-of-type(1) > a:nth-of-type(1)",a,ok,437,no,no,https://www.grupoficohsa.com/,https://www.grupoficohsa.com/,,,"",""
BTN-0002,https://www.grupoficohsa.com/,"Sostenibilidad","div#container-3c8b5b248b > div > div > header > div:nth-of-type(2) > div > div:nth-of-type(2) > div:nth-of-type(1) > a:nth-of-type(2)",a,ok,444,no,no,https://www.grupoficohsa.com/,https://www.grupoficohsa.com/,,,"",""
BTN-0003,https://www.grupoficohsa.com/,"Más noticias","div#container-c8bb07ad37 > div > div:nth-of-type(2) > div > div > div:nth-of-type(3) > a > button",button,ok,1493,no,no,https://www.grupoficohsa.com/,https://www.grupoficohsa.com/acerca-de-ficohsa/prensa-ficohsa,,,"The Content Security Policy directive 'upgrade-insecure-requests' is ignored when delivered in a report-only policy.; Cannot read properties of null (reading 'getAttribute'); Cannot read properties of undefined (reading 'addEventListener'); Failed to load resource: the server responded with a status of 404 (); Failed to load resource: the server responded with a status of 404 ()","404 https://www.grupoficohsa.com/content/dam/default-image.jpg"
BTN-0004,https://www.grupoficohsa.com/,"Suscribirme","div#app-react-form-newsletter > div > div > div:nth-of-type(2) > form > div:nth-of-type(4) > button",button,error,,no,yes,https://www.grupoficohsa.com/,https://www.grupoficohsa.com/,,"locator.click: Timeout 15000ms exceeded.
Call log:
[2m  - waiting for locator('button:visible, input[type=""submit""]:visible, input[type=""button""]:visible, a[role=""button""]:visible, [role=""button""]:visible, a.btn:visible, a.button:visible, a[class*=""cta""]:visible, a[class*=""CTA""]:visible').nth(3)[22m
[2m    - locator resolved to <button disabled type=""submit"" class=""gff-newsletter-button gff-newsletter-button-disabled"">Suscribirme</button>[22m
[2m  - attempting click action[22m
[2m    2 × waiting for element to be visible, enabled and stable[22m
[2m      - element is not enabled[22m
[2m    - retrying click action[22m
[2m    - waiting 20ms[22m
[2m    2 × waiting for element to be visible, enabled and stable[22m
[2m      - element is not enabled[22m
[2m    - retrying click action[22m
[2m      - waiting 100ms[22m
[2m    29 × waiting for element to be visible, enabled and stable[22m
[2m       - element is not enabled[22m
[2m     - retrying click action[22m
[2m       - waiting 500ms[22m
","",""
BTN-0005,https://www.grupoficohsa.com/acerca-de-ficohsa/nuestra-presencia,"Acerca de Ficohsa","div#container-718d72fe52 > div > div > header > div:nth-of-type(2) > div > div:nth-of-type(2) > div:nth-of-type(1) > a:nth-of-type(1)",a,ok,412,no,no,https://www.grupoficohsa.com/acerca-de-ficohsa/nuestra-presencia,https://www.grupoficohsa.com/acerca-de-ficohsa/nuestra-presencia,,,"",""
BTN-0006,https://www.grupoficohsa.com/acerca-de-ficohsa/nuestra-presencia,"Sostenibilidad","div#container-718d72fe52 > div > div > header > div:nth-of-type(2) > div > div:nth-of-type(2) > div:nth-of-type(1) > a:nth-of-type(2)",a,ok,408,no,no,https://www.grupoficohsa.com/acerca-de-ficohsa/nuestra-presencia,https://www.grupoficohsa.com/acerca-de-ficohsa/nuestra-presencia,,,"",""
BTN-0007,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,"Acerca de Ficohsa","div#container-718d72fe52 > div > div > header > div:nth-of-type(2) > div > div:nth-of-type(2) > div:nth-of-type(1) > a:nth-of-type(1)",a,ok,417,no,no,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,,,"",""
BTN-0008,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,"Sostenibilidad","div#container-718d72fe52 > div > div > header > div:nth-of-type(2) > div > div:nth-of-type(2) > div:nth-of-type(1) > a:nth-of-type(2)",a,ok,405,no,no,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,,,"",""
BTN-0009,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,"Valor anterior","div#container-d8ad193d1a > div > div:nth-of-type(3) > div > div > div > div:nth-of-type(3) > button:nth-of-type(1)",button,ok,442,no,no,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,,,"",""
BTN-0010,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,"Siguiente valor","div#container-d8ad193d1a > div > div:nth-of-type(3) > div > div > div > div:nth-of-type(3) > button:nth-of-type(2)",button,ok,397,no,no,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,https://www.grupoficohsa.com/acerca-de-ficohsa/nosotros,,,"",""
